experiment,run,repetition,seed,migrationTechnique,protocol,memoryFootprintInflation [MB],preDumpTime [s],preDumpTxTime [s],dumpTime [s],dumpTxTime [s],dumpSize,preDumpSize,compressionEnabled,rsyncPreDumpTotalFileSize,rsyncPreDumpTotalBytesSent,rsyncPreDumpTransferRate,rsyncPreDumpCompressionSpeedup,rsyncDumpTotalFileSize,rsyncDumpTotalBytesSent,rsyncDumpTransferRate,rsyncDumpCompressionSpeedup
1,1,1,1,cold,proactiveExplicit,0,,,0.3154757022857666,1.0398919582366943,1.5M,,False,,,,,1.46M,1.46M,972.83K bytes/sec,1.00
1,1,2,2,cold,proactiveExplicit,0,,,0.2921717166900635,0.9760088920593262,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,3,3,cold,proactiveExplicit,0,,,0.2902987003326416,0.9573280811309814,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,4,4,cold,proactiveExplicit,0,,,0.29631710052490234,0.9672796726226807,1.5M,,False,,,,,1.46M,1.46M,975.57K bytes/sec,1.00
1,1,5,5,cold,proactiveExplicit,0,,,,,,,False,,,,,,,,
1,1,6,6,cold,proactiveExplicit,0,,,0.29616498947143555,0.9682204723358154,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,7,7,cold,proactiveExplicit,0,,,0.2955958843231201,0.970693826675415,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,8,8,cold,proactiveExplicit,0,,,0.2974698543548584,0.9526901245117188,1.5M,,False,,,,,1.46M,1.46M,975.57K bytes/sec,1.00
1,1,9,9,cold,proactiveExplicit,0,,,0.29747843742370605,0.9620695114135742,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,10,10,cold,proactiveExplicit,0,,,0.3007643222808838,0.9543766975402832,1.5M,,False,,,,,1.46M,1.46M,975.57K bytes/sec,1.00
1,1,11,11,cold,proactiveExplicit,0,,,0.3029792308807373,0.9575412273406982,1.5M,,False,,,,,1.46M,1.46M,975.57K bytes/sec,1.00
1,1,12,12,cold,proactiveExplicit,0,,,0.29528260231018066,0.9717574119567871,1.5M,,False,,,,,1.46M,1.46M,975.57K bytes/sec,1.00
1,1,13,13,cold,proactiveExplicit,0,,,0.2955765724182129,0.9570729732513428,1.5M,,False,,,,,1.46M,1.46M,972.83K bytes/sec,1.00
1,1,14,14,cold,proactiveExplicit,0,,,0.30565762519836426,0.9717259407043457,1.5M,,False,,,,,1.46M,1.46M,972.83K bytes/sec,1.00
1,1,15,15,cold,proactiveExplicit,0,,,0.2822439670562744,0.9608681201934814,1.5M,,False,,,,,1.46M,1.46M,975.57K bytes/sec,1.00
1,1,16,16,cold,proactiveExplicit,0,,,0.29746103286743164,0.9741356372833252,1.5M,,False,,,,,1.46M,1.46M,2.93M bytes/sec,1.00
1,1,17,17,cold,proactiveExplicit,0,,,0.29633116722106934,0.9523270130157471,1.5M,,False,,,,,1.46M,1.46M,975.57K bytes/sec,1.00
1,1,18,18,cold,proactiveExplicit,0,,,0.29915499687194824,0.9586317539215088,1.5M,,False,,,,,1.46M,1.46M,975.57K bytes/sec,1.00
1,1,19,19,cold,proactiveExplicit,0,,,0.28922247886657715,0.9635944366455078,1.5M,,False,,,,,1.46M,1.46M,975.56K bytes/sec,1.00
1,1,20,20,cold,proactiveExplicit,0,,,0.2898063659667969,0.963364839553833,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,21,21,cold,proactiveExplicit,0,,,0.29418087005615234,0.971078634262085,1.5M,,False,,,,,1.46M,1.46M,975.57K bytes/sec,1.00
1,1,22,22,cold,proactiveExplicit,0,,,0.30091071128845215,0.9412434101104736,1.5M,,False,,,,,1.46M,1.46M,972.83K bytes/sec,1.00
1,1,23,23,cold,proactiveExplicit,0,,,0.2994568347930908,0.9780025482177734,1.5M,,False,,,,,1.46M,1.46M,975.60K bytes/sec,1.00
1,1,24,24,cold,proactiveExplicit,0,,,0.30072927474975586,0.9598181247711182,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,25,25,cold,proactiveExplicit,0,,,0.29813480377197266,0.9448189735412598,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,26,26,cold,proactiveExplicit,0,,,0.29925966262817383,0.9699604511260986,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
1,1,27,27,cold,proactiveExplicit,0,,,0.29309868812561035,1.029726505279541,1.5M,,False,,,,,1.45M,1.45M,970.10K bytes/sec,1.00
