experiment,run,repetition,seed,migrationTechnique,compressionEnabled,preDumpTimes [s],preDumpTxTimes [s],dumpTimes [s],dumpTxTimes [s],dumpSizes,preDumpSizes,rsyncPreDumpTotalFileSizes,rsyncPreDumpTotalBytesSent,rsyncPreDumpTransferRates,rsyncPreDumpCompressionSpeedups,rsyncDumpTotalFileSizes,rsyncDumpTotalBytesSent,rsyncDumpTransferRates,rsyncDumpCompressionSpeedups,restoreTimes [s],lazyPagesTxTimes [s],lazyPagesTxEndTimes [s],numberOfLazyPages
5,1,1,1,hybrid,False,"[0.19530868530273438, 0.2075033187866211, 0.20418047904968262]","[0.9556341171264648, 0.9517364501953125, 0.9792599678039551]","[0.26586055755615234, 0.2733116149902344, 0.2710254192352295]","[0.9233736991882324, 0.9129905700683594, 0.9336948394775391]","['124K', '252K', '256K']","['1.4M', '1.4M', '1.4M']","['1.44M', '1.45M', '1.45M']","['1.44M', '233.81K', '213.48K']","['962.18K bytes/sec', '160.78K bytes/sec', '147.23K bytes/sec']","['1.00', '6.03', '6.59']","['39.90K', '150.01K', '150.79K']","['41.72K', '127.17K', '131.91K']","['28.14K bytes/sec', '86.07K bytes/sec', '89.20K bytes/sec']","['0.95', '1.19', '1.15']","[['real 0.41', 'user 0.03', 'sys 0.05'], ['real 0.39', 'user 0.03', 'sys 0.05'], ['real 0.39', 'user 0.03', 'sys 0.05']]","[0.059562000000000004, 0.038941, 0.044962999999999975]","[0.396739, 0.368602, 0.360705]","[68, 67, 68]"
5,2,1,2,hybrid,False,"[0.20821571350097656, 0.20562124252319336, 0.19855332374572754]","[0.9300699234008789, 0.9572319984436035, 0.99056077003479]","[0.2781529426574707, 0.27802205085754395, 0.26537585258483887]","[0.9063925743103027, 0.9368853569030762, 0.9168574810028076]","['132K', '252K', '252K']","['1.5M', '1.5M', '1.5M']","['1.46M', '1.47M', '1.47M']","['1.46M', '223.29K', '225.69K']","['973.10K bytes/sec', '153.77K bytes/sec', '155.38K bytes/sec']","['1.00', '6.36', '6.30']","['48.10K', '149.24K', '149.67K']","['49.92K', '126.51K', '126.17K']","['33.61K bytes/sec', '85.63K bytes/sec', '85.41K bytes/sec']","['0.95', '1.19', '1.19']","[['real 0.39', 'user 0.02', 'sys 0.06'], ['real 0.39', 'user 0.03', 'sys 0.05'], ['real 0.40', 'user 0.02', 'sys 0.06']]","[0.07200999999999996, 0.06181800000000004, 0.049331000000000014]","[0.38553, 0.39134, 0.395656]","[72, 72, 73]"
