experiment,run,repetition,seed,migrationTechnique,compressionEnabled,preDumpTimes [s],preDumpTxTimes [s],dumpTimes [s],dumpTxTimes [s],dumpSizes,preDumpSizes,rsyncPreDumpTotalFileSizes,rsyncPreDumpTotalBytesSent,rsyncPreDumpTransferRates,rsyncPreDumpCompressionSpeedups,rsyncDumpTotalFileSizes,rsyncDumpTotalBytesSent,rsyncDumpTransferRates,rsyncDumpCompressionSpeedups,restoreTimes [s],lazyPagesTxTimes [s],lazyPagesTxEndTimes [s],numberOfLazyPages
5,1,1,1,hybrid,False,"[0.18829894065856934, 0.18825340270996094, 0.1875910758972168]","[0.9932794570922852, 1.0232162475585938, 0.9912986755371094]","[0.25519394874572754, 0.2582530975341797, 0.25360679626464844]","[0.9851112365722656, 0.9608027935028076, 1.0077016353607178]","['252K', '248K', '252K']","['1.4M', '1.4M', '1.4M']","['1.45M', '1.45M', '1.45M']","['236.08K', '233.79K', '227.84K']","['162.25K bytes/sec', '160.77K bytes/sec', '156.80K bytes/sec']","['5.98', '6.03', '6.19']","['149.49K', '145.44K', '149.92K']","['127.71K', '127.30K', '126.40K']","['85.77K bytes/sec', '86.16K bytes/sec', '85.56K bytes/sec']","['1.19', '1.15', '1.19']","[['real 0.39', 'user 0.04', 'sys 0.05'], ['real 0.37', 'user 0.04', 'sys 0.04'], ['real 0.37', 'user 0.03', 'sys 0.05']]","[0.061639, 0.043011999999999995, 0.04749700000000001]","[0.385381, 0.343263, 0.368653]","[66, 74, 67]"
5,2,1,2,hybrid,False,"[0.1908268928527832, 0.18953537940979004, 0.1914684772491455]","[0.9902286529541016, 1.0320804119110107, 0.9890334606170654]","[0.25778937339782715, 0.25882673263549805, 0.2552521228790283]","[1.0106241703033447, 0.9633703231811523, 0.9589927196502686]","['252K', '252K', '252K']","['1.5M', '1.5M', '1.5M']","['1.47M', '1.47M', '1.47M']","['235.60K', '223.28K', '219.65K']","['162.00K bytes/sec', '153.77K bytes/sec', '151.35K bytes/sec']","['6.04', '6.36', '6.46']","['149.36K', '149.87K', '149.47K']","['128.50K', '126.37K', '126.69K']","['86.34K bytes/sec', '85.53K bytes/sec', '85.75K bytes/sec']","['1.18', '1.19', '1.19']","[['real 0.42', 'user 0.03', 'sys 0.06'], ['real 0.36', 'user 0.04', 'sys 0.04'], ['real 0.43', 'user 0.02', 'sys 0.06']]","[0.08853, 0.05393999999999999, 0.06908800000000004]","[0.423976, 0.361693, 0.409683]","[73, 73, 76]"
