experiment,run,restoreTime [s],numberOfLazyPages,lazyPagesTxTime [s],lazyPagesTxEndTime [s]
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2707.0,0.465032,0.685983
4,8,"['real 0.26', 'user 0.04', 'sys 0.05']",2500.0,0.420011,0.638986
4,8,"['real 0.26', 'user 0.04', 'sys 0.05']",2500.0,0.420011,0.638986
4,8,"['real 0.26', 'user 0.04', 'sys 0.05']",2500.0,0.420011,0.638986
4,8,"['real 0.26', 'user 0.04', 'sys 0.05']",2500.0,0.420011,0.638986
4,8,"['real 0.26', 'user 0.04', 'sys 0.05']",2500.0,0.420011,0.638986
4,8,"['real 0.26', 'user 0.04', 'sys 0.05']",2500.0,0.420011,0.638986
4,8,"['real 0.26', 'user 0.04', 'sys 0.05']",2500.0,0.420011,0.638986
4,8,"['real 0.26', 'user 0.04', 'sys 0.05']",2500.0,0.420011,0.638986
