experiment,run,seedServer,migrationTechnique,memoryFootprintInflation [MB],compressionEnabled,preDumpTime [s],preDumpTxTime [s],dumpTime [s],dumpTxTime [s],dumpSize,preDumpSize,rsyncPreDumpTotalFileSize,rsyncPreDumpTotalBytesSent,rsyncPreDumpTransferRate,rsyncPreDumpCompressionSpeedup,rsyncDumpTotalFileSize,rsyncDumpTotalBytesSent,rsyncDumpTransferRate,rsyncDumpCompressionSpeedup
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.3283853530883789,0.8975439071655273,13M,,,,,,12.96M,12.96M,25.93M bytes/sec,1.00
