experiment,run,restoreTime [s],numberOfLazyPages,lazyPagesTxTime [s],lazyPagesTxEndTime [s]
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,1,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
4,2,"['real 0.29', 'user 0.03', 'sys 0.06']",,,
4,2,"['real 0.29', 'user 0.03', 'sys 0.06']",,,
4,2,"['real 0.29', 'user 0.03', 'sys 0.06']",,,
4,2,"['real 0.29', 'user 0.03', 'sys 0.06']",,,
4,2,"['real 0.29', 'user 0.03', 'sys 0.06']",,,
4,2,"['real 0.29', 'user 0.03', 'sys 0.06']",,,
4,2,"['real 0.29', 'user 0.03', 'sys 0.06']",,,
4,2,"['real 0.29', 'user 0.03', 'sys 0.06']",,,
4,2,"['real 0.29', 'user 0.03', 'sys 0.06']",,,
4,2,"['real 0.29', 'user 0.03', 'sys 0.06']",,,
4,2,"['real 0.29', 'user 0.03', 'sys 0.06']",,,
4,2,"['real 0.29', 'user 0.03', 'sys 0.06']",,,
4,2,"['real 0.29', 'user 0.03', 'sys 0.06']",,,
4,2,"['real 0.29', 'user 0.03', 'sys 0.06']",,,
