experiment,run,restoreTime [s],numberOfLazyPages,lazyPagesTxTime [s],lazyPagesTxEndTime [s]
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,1,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,2,"['real 0.25', 'user 0.05', 'sys 0.03']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,3,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
4,4,"['real 0.28', 'user 0.04', 'sys 0.05']",,,
