experiment,run,repetition,seed,migrationTechnique,protocol,memoryFootprintInflation [MB],preDumpTime [s],preDumpTxTime [s],dumpTime [s],dumpTxTime [s],dumpSize,preDumpSize,compressionEnabled,rsyncPreDumpTotalFileSize,rsyncPreDumpTotalBytesSent,rsyncPreDumpTransferRate,rsyncPreDumpCompressionSpeedup,rsyncDumpTotalFileSize,rsyncDumpTotalBytesSent,rsyncDumpTransferRate,rsyncDumpCompressionSpeedup
2,1,1,1,cold,proactiveExplicit,0,,,0.3092060089111328,1.0266458988189697,1.5M,,False,,,,,1.45M,1.45M,970.11K bytes/sec,1.00
2,1,2,2,cold,proactiveExplicit,0,,,0.28241968154907227,0.9548230171203613,1.5M,,False,,,,,1.46M,1.46M,972.83K bytes/sec,1.00
2,1,3,3,cold,proactiveExplicit,0,,,0.297105073928833,0.949892520904541,1.5M,,False,,,,,1.46M,1.46M,975.55K bytes/sec,1.00
2,1,4,4,cold,proactiveExplicit,0,,,0.2864043712615967,0.9622039794921875,1.5M,,False,,,,,1.46M,1.46M,972.83K bytes/sec,1.00
2,1,5,5,cold,proactiveExplicit,0,,,0.2841222286224365,0.9584639072418213,1.5M,,False,,,,,1.46M,1.46M,2.93M bytes/sec,1.00
2,1,6,6,cold,proactiveExplicit,0,,,0.2822690010070801,0.9575693607330322,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
2,1,7,7,cold,proactiveExplicit,0,,,0.290783166885376,0.967151403427124,1.5M,,False,,,,,1.46M,1.46M,975.58K bytes/sec,1.00
2,1,8,8,cold,proactiveExplicit,0,,,0.2882680892944336,0.9492237567901611,1.5M,,False,,,,,1.46M,1.46M,975.58K bytes/sec,1.00
2,1,9,9,cold,proactiveExplicit,0,,,0.28604960441589355,0.9542336463928223,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
2,1,10,10,cold,proactiveExplicit,0,,,0.28924083709716797,0.9651856422424316,1.5M,,False,,,,,1.46M,1.46M,972.84K bytes/sec,1.00
2,2,1,11,preCopy,proactiveExplicit,0,0.20238971710205078,0.9539105892181396,0.32105040550231934,0.9362342357635498,136K,1.4M,False,1.44M,1.44M,962.17K bytes/sec,1.00,51.71K,53.53K,36.02K bytes/sec,0.96
