experiment,run,repetition,restoreTime [s],numberOfLazyPages,lazyPagesTxTime [s],lazyPagesTxEndTime [s]
2,1,1,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,1,2,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,1,3,"['real 0.24', 'user 0.03', 'sys 0.04']",,,
2,1,4,"['real 0.23', 'user 0.05', 'sys 0.03']",,,
2,1,5,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,1,6,"['real 0.23', 'user 0.04', 'sys 0.04']",,,
2,1,7,"['real 0.23', 'user 0.03', 'sys 0.05']",,,
2,1,8,"['real 0.23', 'user 0.04', 'sys 0.04']",,,
2,1,9,"['real 0.23', 'user 0.04', 'sys 0.04']",,,
2,1,10,"['real 0.23', 'user 0.04', 'sys 0.04']",,,
2,2,1,"['real 0.24', 'user 0.02', 'sys 0.05']",,,
2,2,2,"['real 0.23', 'user 0.04', 'sys 0.04']",,,
2,2,3,"['real 0.23', 'user 0.02', 'sys 0.05']",,,
2,2,4,"['real 0.22', 'user 0.02', 'sys 0.06']",,,
2,2,5,"['real 0.24', 'user 0.02', 'sys 0.06']",,,
2,2,6,"['real 0.23', 'user 0.03', 'sys 0.05']",,,
2,2,7,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,2,8,"['real 0.25', 'user 0.05', 'sys 0.04']",,,
2,2,9,"['real 0.25', 'user 0.04', 'sys 0.05']",,,
2,2,10,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,3,1,"['real 0.28', 'user 0.03', 'sys 0.05']",204.0,0.05172299999999999,0.289018
2,3,2,"['real 0.25', 'user 0.04', 'sys 0.04']",204.0,0.05884400000000001,0.282905
2,3,3,"['real 0.24', 'user 0.04', 'sys 0.04']",204.0,0.03973800000000002,0.235609
2,3,4,"['real 0.26', 'user 0.03', 'sys 0.04']",203.0,0.03917000000000001,0.251483
2,3,5,"['real 0.23', 'user 0.03', 'sys 0.05']",203.0,0.05344499999999999,0.256032
2,3,6,"['real 0.25', 'user 0.02', 'sys 0.06']",203.0,0.040284000000000014,0.258076
2,3,7,"['real 0.25', 'user 0.04', 'sys 0.04']",202.0,0.043477000000000016,0.243315
2,3,8,"['real 0.23', 'user 0.03', 'sys 0.05']",204.0,0.056118999999999974,0.260223
2,3,9,"['real 0.24', 'user 0.03', 'sys 0.05']",204.0,0.047831999999999986,0.257283
2,3,10,"['real 0.26', 'user 0.05', 'sys 0.03']",204.0,0.04466499999999998,0.257621
2,4,1,"['real 0.26', 'user 0.02', 'sys 0.06']",7.0,0.017320000000000002,0.255473
2,4,2,"['real 0.24', 'user 0.02', 'sys 0.06']",7.0,0.016942000000000013,0.232876
2,4,3,"['real 0.25', 'user 0.03', 'sys 0.06']",7.0,0.018595,0.231743
2,4,4,"['real 0.21', 'user 0.02', 'sys 0.06']",7.0,0.023674,0.201294
2,4,5,"['real 0.24', 'user 0.05', 'sys 0.03']",7.0,0.015879000000000004,0.228083
2,4,6,"['real 0.23', 'user 0.03', 'sys 0.05']",7.0,0.01794800000000002,0.217729
2,4,7,"['real 0.25', 'user 0.02', 'sys 0.05']",7.0,0.015201999999999993,0.23623
2,4,8,"['real 0.24', 'user 0.07', 'sys 0.01']",7.0,0.01547699999999999,0.228041
2,4,9,"['real 0.24', 'user 0.04', 'sys 0.04']",7.0,0.015502999999999989,0.228455
2,4,10,"['real 0.26', 'user 0.04', 'sys 0.04']",7.0,0.016211999999999976,0.253625
2,5,1,"['real 0.24', 'user 0.05', 'sys 0.04']",,,
2,5,2,"['real 0.23', 'user 0.04', 'sys 0.04']",,,
2,5,3,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,5,4,"['real 0.23', 'user 0.04', 'sys 0.04']",,,
2,5,5,"['real 0.23', 'user 0.05', 'sys 0.03']",,,
2,5,6,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,5,7,"['real 0.24', 'user 0.03', 'sys 0.04']",,,
2,5,8,"['real 0.22', 'user 0.04', 'sys 0.04']",,,
2,5,9,"['real 0.24', 'user 0.05', 'sys 0.03']",,,
2,5,10,"['real 0.24', 'user 0.01', 'sys 0.07']",,,
2,6,1,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,6,2,"['real 0.27', 'user 0.05', 'sys 0.03']",,,
2,6,3,"['real 0.23', 'user 0.03', 'sys 0.04']",,,
2,6,4,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,6,5,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,6,6,"['real 0.27', 'user 0.02', 'sys 0.06']",,,
2,6,7,"['real 0.25', 'user 0.04', 'sys 0.05']",,,
2,6,8,"['real 0.23', 'user 0.03', 'sys 0.06']",,,
2,6,9,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,6,10,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,7,1,"['real 0.23', 'user 0.01', 'sys 0.06']",203.0,0.04779900000000001,0.248
2,7,2,"['real 0.26', 'user 0.05', 'sys 0.03']",203.0,0.04128699999999999,0.267063
2,7,3,"['real 0.28', 'user 0.04', 'sys 0.05']",203.0,0.047471999999999986,0.294589
2,7,4,"['real 0.26', 'user 0.04', 'sys 0.05']",203.0,0.06188899999999997,0.294056
2,7,5,"['real 0.23', 'user 0.06', 'sys 0.03']",202.0,0.059371000000000035,0.259238
2,7,6,"['real 0.24', 'user 0.05', 'sys 0.03']",203.0,0.05530099999999999,0.26831
2,7,7,"['real 0.26', 'user 0.02', 'sys 0.06']",204.0,0.036674999999999985,0.259154
2,7,8,"['real 0.25', 'user 0.04', 'sys 0.04']",204.0,0.04563300000000001,0.265123
2,7,9,"['real 0.25', 'user 0.02', 'sys 0.08']",204.0,0.04802200000000001,0.263938
2,7,10,"['real 0.24', 'user 0.03', 'sys 0.06']",204.0,0.046958,0.251008
2,8,1,"['real 0.24', 'user 0.02', 'sys 0.05']",68.0,0.033292000000000016,0.240408
2,8,2,"['real 0.24', 'user 0.04', 'sys 0.05']",69.0,0.028534000000000004,0.236265
2,8,3,"['real 0.27', 'user 0.04', 'sys 0.04']",69.0,0.03756699999999999,0.272754
2,8,4,"['real 0.25', 'user 0.02', 'sys 0.06']",70.0,0.026380999999999988,0.241147
2,8,5,"['real 0.24', 'user 0.03', 'sys 0.05']",68.0,0.02581900000000001,0.234857
2,8,6,"['real 0.30', 'user 0.05', 'sys 0.03']",70.0,0.035822999999999994,0.289135
2,8,7,"['real 0.24', 'user 0.02', 'sys 0.06']",68.0,0.025923,0.241445
2,8,8,"['real 0.25', 'user 0.04', 'sys 0.04']",71.0,0.026725,0.233846
2,8,9,"['real 0.23', 'user 0.05', 'sys 0.03']",69.0,0.031312000000000006,0.229691
2,8,10,"['real 0.23', 'user 0.04', 'sys 0.04']",65.0,0.02418999999999999,0.2306
2,9,1,"['real 0.23', 'user 0.02', 'sys 0.05']",,,
2,9,2,"['real 0.23', 'user 0.04', 'sys 0.04']",,,
2,9,3,"['real 0.20', 'user 0.04', 'sys 0.04']",,,
2,9,4,"['real 0.24', 'user 0.03', 'sys 0.04']",,,
2,9,5,"['real 0.24', 'user 0.01', 'sys 0.06']",,,
2,9,6,"['real 0.23', 'user 0.03', 'sys 0.05']",,,
2,9,7,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,9,8,"['real 0.23', 'user 0.03', 'sys 0.05']",,,
2,9,9,"['real 0.24', 'user 0.02', 'sys 0.07']",,,
2,9,10,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,10,1,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,10,2,"['real 0.24', 'user 0.05', 'sys 0.04']",,,
2,10,3,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,10,4,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,10,5,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,10,6,"['real 0.26', 'user 0.05', 'sys 0.03']",,,
2,10,7,"['real 0.23', 'user 0.04', 'sys 0.04']",,,
2,10,8,"['real 0.23', 'user 0.03', 'sys 0.05']",,,
2,10,9,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,10,10,"['real 0.25', 'user 0.02', 'sys 0.06']",,,
2,11,1,"['real 0.23', 'user 0.05', 'sys 0.03']",204.0,0.05341499999999999,0.258167
2,11,2,"['real 0.24', 'user 0.03', 'sys 0.06']",203.0,0.058608999999999994,0.269627
2,11,3,"['real 0.24', 'user 0.03', 'sys 0.06']",204.0,0.051016000000000006,0.265258
2,11,4,"['real 0.23', 'user 0.03', 'sys 0.04']",202.0,0.03984299999999999,0.2296
2,11,5,"['real 0.24', 'user 0.05', 'sys 0.03']",203.0,0.039601,0.244163
2,11,6,"['real 0.25', 'user 0.03', 'sys 0.05']",203.0,0.04428800000000002,0.259458
2,11,7,"['real 0.24', 'user 0.05', 'sys 0.04']",202.0,0.03857700000000003,0.254464
2,11,8,"['real 0.24', 'user 0.04', 'sys 0.04']",204.0,0.03862400000000002,0.248757
2,11,9,"['real 0.25', 'user 0.03', 'sys 0.04']",203.0,0.03893099999999999,0.238095
2,11,10,"['real 0.24', 'user 0.02', 'sys 0.06']",203.0,0.043121999999999994,0.249522
2,12,1,"['real 0.24', 'user 0.03', 'sys 0.06']",65.0,0.026296000000000014,0.238129
2,12,2,"['real 0.24', 'user 0.04', 'sys 0.04']",66.0,0.028344000000000008,0.237552
2,12,3,"['real 0.25', 'user 0.04', 'sys 0.04']",71.0,0.03359999999999999,0.247498
2,12,4,"['real 0.25', 'user 0.04', 'sys 0.04']",70.0,0.030336000000000002,0.256899
2,12,5,"['real 0.25', 'user 0.05', 'sys 0.04']",68.0,0.024196999999999996,0.236232
2,12,6,"['real 0.24', 'user 0.02', 'sys 0.06']",69.0,0.030508000000000007,0.231388
2,12,7,"['real 0.27', 'user 0.04', 'sys 0.05']",69.0,0.03367899999999999,0.26887
2,12,8,"['real 0.25', 'user 0.03', 'sys 0.05']",68.0,0.033023,0.247493
2,12,9,"['real 0.26', 'user 0.04', 'sys 0.04']",67.0,0.028998999999999997,0.256166
2,12,10,"['real 0.25', 'user 0.04', 'sys 0.04']",69.0,0.026386999999999994,0.245324
2,13,1,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,13,2,"['real 0.24', 'user 0.03', 'sys 0.04']",,,
2,13,3,"['real 0.22', 'user 0.02', 'sys 0.05']",,,
2,13,4,"['real 0.26', 'user 0.04', 'sys 0.04']",,,
2,13,5,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
2,13,6,"['real 0.21', 'user 0.03', 'sys 0.05']",,,
2,13,7,"['real 0.24', 'user 0.04', 'sys 0.05']",,,
2,13,8,"['real 0.22', 'user 0.04', 'sys 0.04']",,,
2,13,9,"['real 0.23', 'user 0.06', 'sys 0.03']",,,
2,13,10,"['real 0.23', 'user 0.04', 'sys 0.04']",,,
2,14,1,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,14,2,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,14,3,"['real 0.23', 'user 0.05', 'sys 0.04']",,,
2,14,4,"['real 0.24', 'user 0.05', 'sys 0.03']",,,
2,14,5,"['real 0.22', 'user 0.03', 'sys 0.05']",,,
2,14,6,"['real 0.25', 'user 0.05', 'sys 0.04']",,,
2,14,7,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,14,8,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
2,14,9,"['real 0.24', 'user 0.03', 'sys 0.05']",,,
2,14,10,"['real 0.25', 'user 0.04', 'sys 0.05']",,,
2,15,1,"['real 0.25', 'user 0.03', 'sys 0.05']",203.0,0.047970999999999986,0.261667
2,15,2,"['real 0.25', 'user 0.03', 'sys 0.05']",204.0,0.05024199999999998,0.267126
2,15,3,"['real 0.25', 'user 0.04', 'sys 0.05']",204.0,0.058064000000000004,0.279959
2,15,4,"['real 0.24', 'user 0.03', 'sys 0.05']",202.0,0.042603,0.248639
2,15,5,"['real 0.25', 'user 0.04', 'sys 0.04']",203.0,0.04140499999999997,0.253841
2,15,6,"['real 0.24', 'user 0.05', 'sys 0.03']",203.0,0.04233300000000001,0.256618
2,15,7,"['real 0.23', 'user 0.04', 'sys 0.04']",203.0,0.046904,0.235646
2,15,8,"['real 0.24', 'user 0.03', 'sys 0.05']",203.0,0.05230599999999999,0.261524
2,15,9,"['real 0.25', 'user 0.05', 'sys 0.03']",203.0,0.03924300000000003,0.257259
2,15,10,"['real 0.24', 'user 0.03', 'sys 0.06']",203.0,0.04582800000000001,0.251502
2,16,1,"['real 0.24', 'user 0.03', 'sys 0.05']",66.0,0.03525400000000001,0.25229
2,16,2,"['real 0.25', 'user 0.03', 'sys 0.05']",67.0,0.027476,0.225989
2,16,3,"['real 0.26', 'user 0.03', 'sys 0.05']",69.0,0.031528,0.251147
2,16,4,"['real 0.26', 'user 0.04', 'sys 0.04']",66.0,0.026429000000000008,0.256002
2,16,5,"['real 0.25', 'user 0.04', 'sys 0.04']",67.0,0.031158999999999992,0.246397
2,16,6,"['real 0.25', 'user 0.05', 'sys 0.03']",68.0,0.031744999999999995,0.253604
2,16,7,"['real 0.25', 'user 0.03', 'sys 0.06']",67.0,0.03139700000000001,0.235848
