experiment,run,seedServer,migrationTechnique,memoryFootprintInflation [MB],compressionEnabled,preDumpTime [s],preDumpTxTime [s],dumpTime [s],dumpTxTime [s],dumpSize,preDumpSize,rsyncPreDumpTotalFileSize,rsyncPreDumpTotalBytesSent,rsyncPreDumpTransferRate,rsyncPreDumpCompressionSpeedup,rsyncDumpTotalFileSize,rsyncDumpTotalBytesSent,rsyncDumpTransferRate,rsyncDumpCompressionSpeedup
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
4,1,1,cold,0.0,False,,,0.43987464904785156,1.232210397720337,14M,,,,,,13.90M,13.90M,9.27M bytes/sec,1.00
